"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","登录模块","","0","0","4","0","0"
"","接入设备详情模块","","0","0","3","0","0"
"","查询设备详细信息模块","","4","0","1","0","0"
"","设备数量统计模块","","2","0","1","0","0"
"","用户信息模块","","1","0","3","0","0"
